claim_id,date_submitted,franchise_id,item_category,quantity,requested_total,carrier_approved_total,target_outcome,rate,unit_price,qty
CLM-47757,"February 05, 2025",Franchise_TX_01,Baseboard Replacement,25.0,1794.5,1414.58,0,,71.78,
CLM-95402,2025-08-31,Franchise_FL_04,Antimicrobial Treatment,38.0,,1237.28,1,32.56,,
CLM-63145,2025-11-27,Franchise_FL_04,Baseboard Replacement,12.0,462.84,462.84,1,38.57,,
CLM-43716,"July 14, 2025",Franchise_TX_01,Dehumidifier Rental,3.0,134.79,98.17,0,,44.93,
CLM-65283,06/24/2025,Franchise_NY_12,Water Extraction,,1176.45,728.49,0,,$51.15,23.0
CLM-86547,"July 31, 2025",Franchise_TX_01,Water Extraction,11.0,1389.3,1389.3,1,,126.3,
CLM-98002,2025-02-06,Franchise_FL_04,Baseboard Replacement,34.0,4445.5,4445.5,1,130.75,,
CLM-79344,01/23/2025,Franchise_NY_12,Drywall Repair,,833.75,833.75,1,,$36.25,23.0
CLM-47851,2025-12-22,Franchise_FL_04,Baseboard Replacement,33.0,2637.03,2637.03,1,79.91,,
CLM-91513,2025-09-27,Franchise_FL_04,Antimicrobial Treatment,49.0,4102.28,4102.28,1,83.72,,
CLM-87454,2025-06-29,Franchise_FL_04,Dehumidifier Rental,33.0,2366.43,2366.43,1,71.71,,
CLM-32335,"May 19, 2025",Franchise_TX_01,Baseboard Replacement - MISC,33.0,2886.51,2886.51,1,,87.47,
CLM-32644,10/27/2025,Franchise_NY_12,Drywall Repair,,1525.0,1525.0,1,,$61.0,25.0
CLM-52588,2025-12-22,Franchise_FL_04,Antimicrobial Treatment,43.0,6131.8,5035.92,0,142.6,,
CLM-68484,11/13/2025,Franchise_NY_12,Drywall Repair,,1546.44,997.94,0,,$110.46,14.0
CLM-27906,"December 02, 2025",Franchise_TX_01,Antimicrobial Treatment - MISC,37.0,686.35,686.35,1,,18.55,
CLM-23394,12/07/2025,Franchise_NY_12,Drywall Repair,,136.73,136.73,1,,$136.73,1.0
CLM-73135,"November 20, 2025",Franchise_TX_01,Dehumidifier Rental - MISC,5.0,656.9,656.9,1,,131.38,
CLM-38191,"August 17, 2025",Franchise_TX_01,Water Extraction,19.0,1009.47,484.79,0,,53.13,
CLM-97498,12/20/2025,Franchise_NY_12,Dehumidifier Rental,,1470.96,1315.31,0,,$40.86,36.0
CLM-32043,12/10/2025,Franchise_NY_12,Baseboard Replacement,,159.93,159.93,1,,$17.77,9.0
CLM-77124,2025-12-18,Franchise_FL_04,Water Extraction,1.0,108.41,108.41,1,108.41,,
CLM-36710,2025-01-05,Franchise_FL_04,Dehumidifier Rental,5.0,81.7,50.96,0,16.34,,
CLM-57159,"November 09, 2025",Franchise_TX_01,Antimicrobial Treatment,13.0,339.69,254.89,0,,26.13,
CLM-27446,"August 16, 2025",Franchise_TX_01,Water Extraction,4.0,529.24,222.52,0,,132.31,
CLM-83913,2025-09-27,Franchise_FL_04,Antimicrobial Treatment,4.0,70.08,42.49,0,17.52,,
CLM-27631,11/26/2025,Franchise_NY_12,Baseboard Replacement,,4197.58,1782.62,0,,$102.38,41.0
CLM-42116,01/04/2025,Franchise_NY_12,Dehumidifier Rental,,262.74,262.74,1,,$43.79,6.0
CLM-38647,2025-11-10,Franchise_FL_04,Antimicrobial Treatment,37.0,5166.31,5166.31,1,139.63,,
CLM-50281,07/27/2025,Franchise_NY_12,Water Extraction,,2017.96,2017.96,1,,$72.07,28.0
CLM-52331,"January 30, 2025",Franchise_TX_01,Water Extraction,48.0,1831.2,1006.46,0,,38.15,
CLM-24220,2025-05-16,Franchise_FL_04,Dehumidifier Rental,46.0,4192.44,4192.44,1,91.14,,
CLM-82290,05/17/2025,Franchise_NY_12,Drywall Repair,,616.0,616.0,1,,$61.6,10.0
CLM-26589,"February 18, 2025",Franchise_TX_01,Antimicrobial Treatment,21.0,2687.58,2687.58,1,,127.98,
CLM-40582,"September 23, 2025",Franchise_TX_01,Antimicrobial Treatment,9.0,783.72,351.04,0,,87.08,
CLM-66403,2025-03-21,Franchise_FL_04,Baseboard Replacement,2.0,294.82,294.82,1,147.41,,
CLM-37335,04/13/2025,Franchise_NY_12,Water Extraction,,2304.63,2304.63,1,,$79.47,29.0
CLM-21727,01/04/2025,Franchise_NY_12,Water Extraction,,5502.21,5502.21,1,,$112.29,49.0
CLM-19477,2025-08-21,Franchise_FL_04,Antimicrobial Treatment,40.0,4459.6,4459.6,1,111.49,,
CLM-88072,05/22/2025,Franchise_NY_12,Dehumidifier Rental,,1516.5,1133.22,0,,$101.1,15.0
CLM-77764,03/24/2025,Franchise_NY_12,Baseboard Replacement,,739.9,389.29,0,,$52.85,14.0
CLM-17018,"December 10, 2025",Franchise_TX_01,Drywall Repair,5.0,689.35,592.18,0,,137.87,
CLM-84474,"January 17, 2025",Franchise_TX_01,Water Extraction,48.0,6248.64,6248.64,1,,130.18,
CLM-42272,"September 19, 2025",Franchise_TX_01,Dehumidifier Rental,35.0,4399.85,4399.85,1,,125.71,
CLM-95932,2025-06-25,Franchise_FL_04,Dehumidifier Rental,38.0,2204.38,990.02,0,58.01,,
CLM-93027,"May 16, 2025",Franchise_TX_01,Antimicrobial Treatment,45.0,4882.05,4882.05,1,,108.49,
CLM-18908,12/17/2025,Franchise_NY_12,Dehumidifier Rental,,315.56,315.56,1,,$78.89,4.0
CLM-48997,2025-11-12,Franchise_FL_04,Baseboard Replacement,31.0,3565.62,2406.91,0,115.02,,
CLM-84032,"March 25, 2025",Franchise_TX_01,Dehumidifier Rental,12.0,595.44,504.67,0,,49.62,
CLM-32786,2025-07-21,Franchise_FL_04,Water Extraction,45.0,5457.6,3308.92,0,121.28,,
CLM-59358,2025-09-01,Franchise_FL_04,Drywall Repair,38.0,3847.88,3847.88,1,101.26,,
CLM-64427,10/28/2025,Franchise_NY_12,Antimicrobial Treatment,,5822.83,5822.83,1,,$123.89,47.0
CLM-45548,"May 14, 2025",Franchise_TX_01,Antimicrobial Treatment,42.0,1318.8,1318.8,1,,31.4,
CLM-98439,12/24/2025,Franchise_NY_12,Dehumidifier Rental,,6589.88,6589.88,1,,$149.77,44.0
CLM-24041,07/04/2025,Franchise_NY_12,Baseboard Replacement,,877.5,877.5,1,,$22.5,39.0
CLM-92862,"January 27, 2025",Franchise_TX_01,Baseboard Replacement,26.0,1831.44,1831.44,1,,70.44,
CLM-11809,2025-02-14,Franchise_FL_04,Water Extraction,7.0,115.01,115.01,1,16.43,,
CLM-43104,2025-11-07,Franchise_FL_04,Dehumidifier Rental,14.0,321.02,321.02,1,22.93,,
CLM-18974,11/28/2025,Franchise_NY_12,Antimicrobial Treatment,,4808.52,4065.67,0,,$126.54,38.0
CLM-66571,04/29/2025,Franchise_NY_12,Antimicrobial Treatment,,1575.6,878.64,0,,$78.78,20.0
CLM-54643,11/12/2025,Franchise_NY_12,Water Extraction,,6751.0,5241.75,0,,$135.02,50.0
CLM-96542,"July 25, 2025",Franchise_TX_01,Antimicrobial Treatment,10.0,739.7,739.7,1,,73.97,
CLM-94450,11/09/2025,Franchise_NY_12,Antimicrobial Treatment,,394.26,394.26,1,,$131.42,3.0
CLM-11350,"September 02, 2025",Franchise_TX_01,Water Extraction,14.0,1106.28,619.51,0,,79.02,
CLM-77155,2025-02-20,Franchise_FL_04,Water Extraction,49.0,7027.09,7027.09,1,143.41,,
CLM-33065,2025-11-11,Franchise_FL_04,Dehumidifier Rental,18.0,2002.32,924.87,0,111.24,,
CLM-31750,"August 16, 2025",Franchise_TX_01,Dehumidifier Rental,44.0,1617.0,1617.0,1,,36.75,
CLM-82529,"March 15, 2025",Franchise_TX_01,Baseboard Replacement,40.0,5273.2,5273.2,1,,131.83,
CLM-65205,2025-08-01,Franchise_FL_04,Water Extraction,30.0,2412.3,2412.3,1,80.41,,
CLM-89902,12/21/2025,Franchise_NY_12,Drywall Repair,,2461.86,1039.04,0,,$136.77,18.0
CLM-11802,05/01/2025,Franchise_NY_12,Water Extraction,,1198.34,563.95,0,,$92.18,13.0
CLM-46677,04/19/2025,Franchise_NY_12,Drywall Repair,,650.52,650.52,1,,$50.04,13.0
CLM-50143,08/08/2025,Franchise_NY_12,Antimicrobial Treatment,,2805.14,2805.14,1,,$107.89,26.0
CLM-80934,12/28/2025,Franchise_NY_12,Antimicrobial Treatment,,1242.9,1010.93,0,,$124.29,10.0
CLM-73139,"October 15, 2025",Franchise_TX_01,Drywall Repair,14.0,599.62,421.27,0,,42.83,
CLM-64975,07/10/2025,Franchise_NY_12,Dehumidifier Rental,,739.2,635.06,0,,$24.64,30.0
CLM-32493,2025-01-02,Franchise_FL_04,Water Extraction,20.0,691.8,691.8,1,34.59,,
CLM-57144,"December 07, 2025",Franchise_TX_01,Baseboard Replacement - MISC,31.0,1860.93,1545.94,0,,60.03,
CLM-88463,"May 24, 2025",Franchise_TX_01,Baseboard Replacement - MISC,29.0,3402.57,3402.57,1,,117.33,
CLM-65396,09/30/2025,Franchise_NY_12,Dehumidifier Rental,,1234.4,1234.4,1,,$123.44,10.0
CLM-28287,2025-04-26,Franchise_FL_04,Water Extraction,43.0,3519.55,3519.55,1,81.85,,
CLM-68193,"May 24, 2025",Franchise_TX_01,Baseboard Replacement,9.0,226.71,110.4,0,,25.19,
CLM-44199,"October 31, 2025",Franchise_TX_01,Water Extraction,19.0,885.4,885.4,1,,46.6,
CLM-42001,10/16/2025,Franchise_NY_12,Dehumidifier Rental,,1922.08,1922.08,1,,$46.88,41.0
CLM-51338,2025-09-22,Franchise_FL_04,Baseboard Replacement,28.0,1734.6,1734.6,1,61.95,,
CLM-57556,09/03/2025,Franchise_NY_12,Baseboard Replacement,,3822.78,3822.78,1,,$147.03,26.0
CLM-96756,06/27/2025,Franchise_NY_12,Drywall Repair,,205.17,205.17,1,,$29.31,7.0
CLM-50147,12/04/2025,Franchise_NY_12,Antimicrobial Treatment,,2408.78,1705.86,0,,$109.49,22.0
CLM-47102,"October 30, 2025",Franchise_TX_01,Dehumidifier Rental,45.0,3811.5,3811.5,1,,84.7,
CLM-56576,2025-12-23,Franchise_FL_04,Water Extraction,49.0,5438.02,5438.02,1,110.98,,
CLM-48512,"December 09, 2025",Franchise_TX_01,Dehumidifier Rental,6.0,634.68,634.68,1,,105.78,
CLM-11792,2025-03-07,Franchise_FL_04,Dehumidifier Rental,15.0,1011.75,1011.75,1,67.45,,
CLM-85660,03/25/2025,Franchise_NY_12,Dehumidifier Rental,,912.34,912.34,1,,$70.18,13.0
CLM-17586,2025-05-10,Franchise_FL_04,Dehumidifier Rental,39.0,3376.23,3376.23,1,86.57,,
CLM-89386,2025-01-13,Franchise_FL_04,Drywall Repair,5.0,231.4,231.4,1,46.28,,
CLM-80043,"June 27, 2025",Franchise_TX_01,Baseboard Replacement - MISC,50.0,4876.0,4876.0,1,,97.52,
CLM-42560,"November 20, 2025",Franchise_TX_01,Water Extraction,11.0,732.05,402.49,0,,66.55,
CLM-50578,"March 07, 2025",Franchise_TX_01,Drywall Repair,41.0,2813.01,2813.01,1,,68.61,
CLM-61265,"October 07, 2025",Franchise_TX_01,Drywall Repair,9.0,1206.27,1206.27,1,,134.03,
CLM-32828,"August 20, 2025",Franchise_TX_01,Drywall Repair,14.0,1335.46,974.55,0,,95.39,
CLM-92258,"October 19, 2025",Franchise_TX_01,Baseboard Replacement,10.0,754.4,754.4,1,,75.44,
CLM-46467,"July 07, 2025",Franchise_TX_01,Antimicrobial Treatment,32.0,3817.28,3817.28,1,,119.29,
CLM-94459,"December 13, 2025",Franchise_TX_01,Antimicrobial Treatment,4.0,169.88,169.88,1,,42.47,
CLM-85085,"January 09, 2025",Franchise_TX_01,Dehumidifier Rental,35.0,2048.2,2048.2,1,,58.52,
CLM-70624,"October 27, 2025",Franchise_TX_01,Baseboard Replacement,5.0,617.15,344.22,0,,123.43,
CLM-16735,2025-07-18,Franchise_FL_04,Water Extraction,31.0,1984.93,1984.93,1,64.03,,
CLM-33333,01/21/2025,Franchise_NY_12,Dehumidifier Rental,,2562.34,1711.17,0,,$67.43,38.0
CLM-64768,"September 21, 2025",Franchise_TX_01,Antimicrobial Treatment,3.0,132.03,132.03,1,,44.01,
CLM-26051,2025-07-12,Franchise_FL_04,Drywall Repair,34.0,4478.14,3481.97,0,131.71,,
CLM-82677,"March 22, 2025",Franchise_TX_01,Dehumidifier Rental - MISC,40.0,5747.2,5747.2,1,,143.68,
CLM-97577,01/10/2025,Franchise_NY_12,Antimicrobial Treatment,,1175.6,1175.6,1,,$29.39,40.0
CLM-84253,04/15/2025,Franchise_NY_12,Water Extraction,,2333.54,2333.54,1,,$106.07,22.0
CLM-44674,01/30/2025,Franchise_NY_12,Antimicrobial Treatment,,945.24,945.24,1,,$78.77,12.0
CLM-60903,"May 25, 2025",Franchise_TX_01,Drywall Repair,32.0,2877.44,2877.44,1,,89.92,
CLM-76947,01/19/2025,Franchise_NY_12,Baseboard Replacement,,1438.38,1438.38,1,,$79.91,18.0
CLM-92207,2025-03-29,Franchise_FL_04,Water Extraction,7.0,,251.6,0,88.98,,
CLM-11514,"March 25, 2025",Franchise_TX_01,Baseboard Replacement,20.0,1696.6,1186.59,0,,84.83,
CLM-82456,2025-07-15,Franchise_FL_04,Dehumidifier Rental,49.0,2400.51,2400.51,1,48.99,,
CLM-73350,"December 27, 2025",Franchise_TX_01,Dehumidifier Rental,26.0,1861.34,1861.34,1,,71.59,
CLM-50299,2025-12-21,Franchise_FL_04,Drywall Repair,15.0,1475.25,591.88,0,98.35,,
CLM-41146,2025-11-03,Franchise_FL_04,Water Extraction,29.0,3782.18,2427.84,0,130.42,,
CLM-76694,"July 20, 2025",Franchise_TX_01,Baseboard Replacement,25.0,2791.0,2791.0,1,,111.64,
CLM-20870,12/07/2025,Franchise_NY_12,Water Extraction,,667.76,272.76,0,,$19.64,34.0
CLM-33305,06/16/2025,Franchise_NY_12,Drywall Repair,,2077.0,2077.0,1,,$83.08,25.0
CLM-80422,"April 08, 2025",Franchise_TX_01,Antimicrobial Treatment - MISC,24.0,1644.48,1644.48,1,,68.52,
CLM-74375,"September 12, 2025",Franchise_TX_01,Baseboard Replacement - MISC,12.0,1191.72,924.05,0,,99.31,
CLM-35120,11/15/2025,Franchise_NY_12,Baseboard Replacement,,2692.87,2692.87,1,,$141.73,19.0
CLM-37382,12/16/2025,Franchise_NY_12,Baseboard Replacement,,1415.7,1415.7,1,,$31.46,45.0
CLM-62353,"February 25, 2025",Franchise_TX_01,Drywall Repair,47.0,5615.09,5615.09,1,,119.47,
CLM-78066,09/23/2025,Franchise_NY_12,Dehumidifier Rental,,558.35,492.11,0,,$42.95,13.0
CLM-68886,"October 06, 2025",Franchise_TX_01,Baseboard Replacement,27.0,2506.41,2506.41,1,,92.83,
CLM-23370,02/22/2025,Franchise_NY_12,Water Extraction,,658.59,530.31,0,,$22.71,29.0
CLM-21325,10/06/2025,Franchise_NY_12,Antimicrobial Treatment,,1412.01,1412.01,1,,$48.69,29.0
CLM-52718,"December 17, 2025",Franchise_TX_01,Antimicrobial Treatment,4.0,359.28,291.57,0,,89.82,
CLM-87438,2025-08-25,Franchise_FL_04,Baseboard Replacement,43.0,6158.03,6158.03,1,143.21,,
CLM-26691,06/12/2025,Franchise_NY_12,Antimicrobial Treatment,,2139.48,2139.48,1,,$118.86,18.0
CLM-67972,11/19/2025,Franchise_NY_12,Dehumidifier Rental,,5322.54,3492.09,0,,$123.78,43.0
CLM-92563,"December 28, 2025",Franchise_TX_01,Water Extraction,3.0,47.58,47.58,1,,15.86,
CLM-59278,"December 11, 2025",Franchise_TX_01,Dehumidifier Rental - MISC,34.0,4928.64,4928.64,1,,144.96,
CLM-18820,"August 04, 2025",Franchise_TX_01,Drywall Repair,43.0,5060.24,5060.24,1,,117.68,
CLM-78204,"April 22, 2025",Franchise_TX_01,Antimicrobial Treatment,36.0,3726.0,2046.6,0,,103.5,
CLM-13348,"January 06, 2025",Franchise_TX_01,Drywall Repair,35.0,1128.4,1128.4,1,,32.24,
CLM-77949,2025-09-03,Franchise_FL_04,Antimicrobial Treatment,25.0,1580.25,1580.25,1,63.21,,
CLM-57168,"September 21, 2025",Franchise_TX_01,Baseboard Replacement,19.0,1926.22,1926.22,1,,101.38,
CLM-43786,"May 14, 2025",Franchise_TX_01,Water Extraction,45.0,1471.5,1471.5,1,,32.7,
CLM-87474,2025-05-20,Franchise_FL_04,Antimicrobial Treatment,6.0,616.44,616.44,1,102.74,,
CLM-21403,06/07/2025,Franchise_NY_12,Antimicrobial Treatment,,3790.5,3790.5,1,,$75.81,50.0
CLM-38507,2025-07-30,Franchise_FL_04,Antimicrobial Treatment,12.0,204.96,128.3,0,17.08,,
CLM-88004,10/16/2025,Franchise_NY_12,Water Extraction,,464.64,464.64,1,,$21.12,22.0
CLM-99342,"September 13, 2025",Franchise_TX_01,Drywall Repair,5.0,582.6,582.6,1,,116.52,
CLM-94598,12/03/2025,Franchise_NY_12,Dehumidifier Rental,,121.9,121.9,1,,$24.38,5.0
CLM-39917,01/17/2025,Franchise_NY_12,Baseboard Replacement,,399.42,399.42,1,,$22.19,18.0
CLM-24330,06/29/2025,Franchise_NY_12,Water Extraction,,235.68,235.68,1,,$19.64,12.0
CLM-63048,06/17/2025,Franchise_NY_12,Dehumidifier Rental,,3950.76,3950.76,1,,$119.72,33.0
CLM-42976,"September 07, 2025",Franchise_TX_01,Water Extraction,49.0,7164.78,5347.34,0,,146.22,
CLM-14121,2025-03-19,Franchise_FL_04,Drywall Repair,6.0,,189.06,0,56.83,,
CLM-45981,05/10/2025,Franchise_NY_12,Water Extraction,,4948.92,4948.92,1,,$137.47,36.0
CLM-83217,01/16/2025,Franchise_NY_12,Drywall Repair,,5281.21,5281.21,1,,$128.81,41.0
CLM-47203,"May 03, 2025",Franchise_TX_01,Drywall Repair - MISC,14.0,1461.32,1212.37,0,,104.38,
CLM-69153,2025-12-01,Franchise_FL_04,Antimicrobial Treatment,44.0,,1696.01,0,79.6,,
CLM-84405,"June 18, 2025",Franchise_TX_01,Antimicrobial Treatment - MISC,11.0,1474.99,1474.99,1,,134.09,
CLM-42879,"November 29, 2025",Franchise_TX_01,Baseboard Replacement - MISC,21.0,673.89,532.11,0,,32.09,
CLM-39804,08/03/2025,Franchise_NY_12,Drywall Repair,,251.08,251.08,1,,$125.54,2.0
CLM-97168,2025-12-26,Franchise_FL_04,Antimicrobial Treatment,21.0,2500.68,2500.68,1,119.08,,
CLM-27181,2025-03-13,Franchise_FL_04,Dehumidifier Rental,29.0,3691.12,3691.12,1,127.28,,
CLM-29922,2025-12-23,Franchise_FL_04,Antimicrobial Treatment,5.0,209.7,209.7,1,41.94,,
CLM-73250,2025-06-13,Franchise_FL_04,Antimicrobial Treatment,13.0,773.63,773.63,1,59.51,,
CLM-19195,2025-03-23,Franchise_FL_04,Water Extraction,20.0,1367.0,1094.63,0,68.35,,
CLM-60983,03/29/2025,Franchise_NY_12,Water Extraction,,3352.74,3352.74,1,,$98.61,34.0
CLM-18095,2025-04-23,Franchise_FL_04,Dehumidifier Rental,46.0,4355.74,4355.74,1,94.69,,
CLM-28361,08/12/2025,Franchise_NY_12,Drywall Repair,,751.2,751.2,1,,$25.04,30.0
CLM-90772,"August 20, 2025",Franchise_TX_01,Baseboard Replacement,43.0,3942.24,3104.11,0,,91.68,
CLM-91149,08/01/2025,Franchise_NY_12,Dehumidifier Rental,,1189.89,1053.6,0,,$132.21,9.0
CLM-49064,2025-06-10,Franchise_FL_04,Antimicrobial Treatment,45.0,4499.55,4499.55,1,99.99,,
CLM-94977,2025-08-07,Franchise_FL_04,Drywall Repair,42.0,5731.32,5731.32,1,136.46,,
CLM-21410,"January 12, 2025",Franchise_TX_01,Baseboard Replacement - MISC,2.0,137.36,73.68,0,,68.68,
CLM-41302,2025-07-03,Franchise_FL_04,Dehumidifier Rental,36.0,5177.88,5177.88,1,143.83,,
CLM-30053,"July 24, 2025",Franchise_TX_01,Water Extraction,43.0,2161.18,2161.18,1,,50.26,
CLM-80839,12/17/2025,Franchise_NY_12,Drywall Repair,,3581.5,1663.8,0,,$123.5,29.0
CLM-93826,04/18/2025,Franchise_NY_12,Baseboard Replacement,,4339.04,4339.04,1,,$92.32,47.0
CLM-56949,"November 17, 2025",Franchise_TX_01,Drywall Repair,36.0,5339.52,4637.67,0,,148.32,
CLM-16635,2025-05-24,Franchise_FL_04,Water Extraction,28.0,3638.04,2534.99,0,129.93,,
CLM-61272,2025-03-08,Franchise_FL_04,Drywall Repair,28.0,2572.92,2572.92,1,91.89,,
CLM-18650,"July 10, 2025",Franchise_TX_01,Antimicrobial Treatment,37.0,3146.85,3146.85,1,,85.05,
CLM-66732,"November 26, 2025",Franchise_TX_01,Drywall Repair - MISC,1.0,135.07,80.91,0,,135.07,
CLM-65873,12/19/2025,Franchise_NY_12,Water Extraction,,172.17,147.18,0,,$57.39,3.0
CLM-58567,07/09/2025,Franchise_NY_12,Antimicrobial Treatment,,1192.82,1192.82,1,,$27.74,43.0
CLM-10929,04/03/2025,Franchise_NY_12,Water Extraction,,2986.76,2986.76,1,,$106.67,28.0
CLM-77843,"May 29, 2025",Franchise_TX_01,Antimicrobial Treatment,23.0,3154.45,1607.58,0,,137.15,
CLM-98233,03/13/2025,Franchise_NY_12,Baseboard Replacement,,884.78,682.23,0,,$68.06,13.0
CLM-55317,06/04/2025,Franchise_NY_12,Baseboard Replacement,,1322.4,1097.78,0,,$45.6,29.0
CLM-12651,2025-11-07,Franchise_FL_04,Baseboard Replacement,1.0,17.89,15.95,0,17.89,,
CLM-89037,2025-06-30,Franchise_FL_04,Antimicrobial Treatment,5.0,588.3,588.3,1,117.66,,
CLM-16305,2025-10-12,Franchise_FL_04,Drywall Repair,16.0,,1255.52,1,78.47,,
CLM-12085,"September 14, 2025",Franchise_TX_01,Dehumidifier Rental,17.0,715.36,347.24,0,,42.08,
CLM-96670,2025-01-26,Franchise_FL_04,Drywall Repair,13.0,1165.19,941.81,0,89.63,,
CLM-93942,2025-08-26,Franchise_FL_04,Drywall Repair,49.0,3428.04,3428.04,1,69.96,,
CLM-56281,2025-07-01,Franchise_FL_04,Baseboard Replacement,46.0,2575.08,2575.08,1,55.98,,
CLM-91700,2025-04-02,Franchise_FL_04,Water Extraction,6.0,589.26,589.26,1,98.21,,
CLM-42376,05/27/2025,Franchise_NY_12,Baseboard Replacement,,2556.16,1701.31,0,,$79.88,32.0
CLM-27769,2025-11-01,Franchise_FL_04,Dehumidifier Rental,11.0,1356.08,994.51,0,123.28,,
CLM-45077,"August 05, 2025",Franchise_TX_01,Dehumidifier Rental,18.0,2651.04,2651.04,1,,147.28,
CLM-84017,"May 01, 2025",Franchise_TX_01,Antimicrobial Treatment,45.0,1098.0,577.15,0,,24.4,
CLM-46932,2025-11-21,Franchise_FL_04,Baseboard Replacement,25.0,1868.75,759.91,0,74.75,,
CLM-96305,03/08/2025,Franchise_NY_12,Baseboard Replacement,,3811.22,2126.43,0,,$77.78,49.0
CLM-94781,01/18/2025,Franchise_NY_12,Dehumidifier Rental,,1515.01,1515.01,1,,$65.87,23.0
CLM-24305,08/03/2025,Franchise_NY_12,Baseboard Replacement,,3894.99,2855.17,0,,$134.31,29.0
CLM-42604,11/12/2025,Franchise_NY_12,Dehumidifier Rental,,841.12,403.79,0,,$30.04,28.0
CLM-53998,04/08/2025,Franchise_NY_12,Baseboard Replacement,,1132.8,1132.8,1,,$47.2,24.0
CLM-16651,2025-10-23,Franchise_FL_04,Drywall Repair,22.0,991.32,859.54,0,45.06,,
CLM-91710,2025-10-06,Franchise_FL_04,Water Extraction,6.0,425.22,425.22,1,70.87,,
CLM-97077,03/22/2025,Franchise_NY_12,Dehumidifier Rental,,2133.44,1446.51,0,,$66.67,32.0
CLM-38085,"October 11, 2025",Franchise_TX_01,Water Extraction,23.0,1059.61,1059.61,1,,46.07,
CLM-18203,2025-07-19,Franchise_FL_04,Baseboard Replacement,2.0,97.5,97.5,1,48.75,,
CLM-23352,09/10/2025,Franchise_NY_12,Water Extraction,,2744.94,2744.94,1,,$83.18,33.0
CLM-68982,07/05/2025,Franchise_NY_12,Antimicrobial Treatment,,1081.12,661.33,0,,$135.14,8.0
CLM-44269,11/26/2025,Franchise_NY_12,Antimicrobial Treatment,,1593.48,659.83,0,,$56.91,28.0
CLM-30357,"December 08, 2025",Franchise_TX_01,Water Extraction,50.0,4026.5,3580.55,0,,80.53,
CLM-51101,2025-11-27,Franchise_FL_04,Baseboard Replacement,7.0,251.37,251.37,1,35.91,,
