claim_id,franchise_id,item_category,date_submitted,quantity,unit_price,requested_total,carrier_approved_total,is_approved_fully,submit_month,submit_day_of_week
CLM-57159,Franchise_TX_01,Antimicrobial Treatment,,13.0,26.13,339.69,254.89,0,,
CLM-27446,Franchise_TX_01,Water Extraction,,4.0,132.31,529.24,222.52,0,,
CLM-83913,Franchise_FL_04,Antimicrobial Treatment,2025-09-27,4.0,17.52,70.08,42.49,0,9.0,5.0
CLM-27631,Franchise_NY_12,Baseboard Replacement,,41.0,102.38,4197.58,1782.62,0,,
CLM-42116,Franchise_NY_12,Dehumidifier Rental,,6.0,43.79,262.74,262.74,1,,
CLM-38647,Franchise_FL_04,Antimicrobial Treatment,2025-11-10,37.0,139.63,5166.31,5166.31,1,11.0,0.0
CLM-50281,Franchise_NY_12,Water Extraction,,28.0,72.07,2017.96,2017.96,1,,
CLM-52331,Franchise_TX_01,Water Extraction,,48.0,38.15,1831.2,1006.46,0,,
CLM-24220,Franchise_FL_04,Dehumidifier Rental,2025-05-16,46.0,91.14,4192.44,4192.44,1,5.0,4.0
CLM-82290,Franchise_NY_12,Drywall Repair,,10.0,61.6,616.0,616.0,1,,
CLM-26589,Franchise_TX_01,Antimicrobial Treatment,,21.0,127.98,2687.58,2687.58,1,,
CLM-40582,Franchise_TX_01,Antimicrobial Treatment,,9.0,87.08,783.72,351.04,0,,
CLM-66403,Franchise_FL_04,Baseboard Replacement,2025-03-21,2.0,147.41,294.82,294.82,1,3.0,4.0
CLM-37335,Franchise_NY_12,Water Extraction,,29.0,79.47,2304.63,2304.63,1,,
CLM-21727,Franchise_NY_12,Water Extraction,,49.0,112.29,5502.21,5502.21,1,,
CLM-19477,Franchise_FL_04,Antimicrobial Treatment,2025-08-21,40.0,111.49,4459.6,4459.6,1,8.0,3.0
CLM-88072,Franchise_NY_12,Dehumidifier Rental,,15.0,101.1,1516.5,1133.22,0,,
CLM-77764,Franchise_NY_12,Baseboard Replacement,,14.0,52.85,739.9,389.29,0,,
CLM-17018,Franchise_TX_01,Drywall Repair,,5.0,137.87,689.35,592.18,0,,
CLM-84474,Franchise_TX_01,Water Extraction,,48.0,130.18,6248.64,6248.64,1,,
CLM-42272,Franchise_TX_01,Dehumidifier Rental,,35.0,125.71,4399.85,4399.85,1,,
CLM-95932,Franchise_FL_04,Dehumidifier Rental,2025-06-25,38.0,58.01,2204.38,990.02,0,6.0,2.0
CLM-93027,Franchise_TX_01,Antimicrobial Treatment,,45.0,108.49,4882.05,4882.05,1,,
CLM-18908,Franchise_NY_12,Dehumidifier Rental,,4.0,78.89,315.56,315.56,1,,
CLM-48997,Franchise_FL_04,Baseboard Replacement,2025-11-12,31.0,115.02,3565.62,2406.91,0,11.0,2.0
CLM-84032,Franchise_TX_01,Dehumidifier Rental,,12.0,49.62,595.44,504.67,0,,
CLM-32786,Franchise_FL_04,Water Extraction,2025-07-21,45.0,121.28,5457.6,3308.92,0,7.0,0.0
CLM-59358,Franchise_FL_04,Drywall Repair,2025-09-01,38.0,101.26,3847.88,3847.88,1,9.0,0.0
CLM-64427,Franchise_NY_12,Antimicrobial Treatment,,47.0,123.89,5822.83,5822.83,1,,
CLM-45548,Franchise_TX_01,Antimicrobial Treatment,,42.0,31.4,1318.8,1318.8,1,,
CLM-98439,Franchise_NY_12,Dehumidifier Rental,,44.0,149.77,6589.88,6589.88,1,,
CLM-24041,Franchise_NY_12,Baseboard Replacement,,39.0,22.5,877.5,877.5,1,,
CLM-92862,Franchise_TX_01,Baseboard Replacement,,26.0,70.44,1831.44,1831.44,1,,
CLM-11809,Franchise_FL_04,Water Extraction,2025-02-14,7.0,16.43,115.01,115.01,1,2.0,4.0
CLM-43104,Franchise_FL_04,Dehumidifier Rental,2025-11-07,14.0,22.93,321.02,321.02,1,11.0,4.0
CLM-18974,Franchise_NY_12,Antimicrobial Treatment,,38.0,126.54,4808.52,4065.67,0,,
CLM-66571,Franchise_NY_12,Antimicrobial Treatment,,20.0,78.78,1575.6,878.64,0,,
CLM-54643,Franchise_NY_12,Water Extraction,,50.0,135.02,6751.0,5241.75,0,,
CLM-96542,Franchise_TX_01,Antimicrobial Treatment,,10.0,73.97,739.7,739.7,1,,
CLM-94450,Franchise_NY_12,Antimicrobial Treatment,,3.0,131.42,394.26,394.26,1,,
CLM-11350,Franchise_TX_01,Water Extraction,,14.0,79.02,1106.28,619.51,0,,
CLM-77155,Franchise_FL_04,Water Extraction,2025-02-20,49.0,143.41,7027.09,7027.09,1,2.0,3.0
CLM-33065,Franchise_FL_04,Dehumidifier Rental,2025-11-11,18.0,111.24,2002.32,924.87,0,11.0,1.0
CLM-31750,Franchise_TX_01,Dehumidifier Rental,,44.0,36.75,1617.0,1617.0,1,,
CLM-82529,Franchise_TX_01,Baseboard Replacement,,40.0,131.83,5273.2,5273.2,1,,
CLM-65205,Franchise_FL_04,Water Extraction,2025-08-01,30.0,80.41,2412.3,2412.3,1,8.0,4.0
CLM-89902,Franchise_NY_12,Drywall Repair,,18.0,136.77,2461.86,1039.04,0,,
CLM-11802,Franchise_NY_12,Water Extraction,,13.0,92.18,1198.34,563.95,0,,
CLM-46677,Franchise_NY_12,Drywall Repair,,13.0,50.04,650.52,650.52,1,,
CLM-50143,Franchise_NY_12,Antimicrobial Treatment,,26.0,107.89,2805.14,2805.14,1,,
CLM-80934,Franchise_NY_12,Antimicrobial Treatment,,10.0,124.29,1242.9,1010.93,0,,
CLM-73139,Franchise_TX_01,Drywall Repair,,14.0,42.83,599.62,421.27,0,,
CLM-64975,Franchise_NY_12,Dehumidifier Rental,,30.0,24.64,739.2,635.06,0,,
CLM-32493,Franchise_FL_04,Water Extraction,2025-01-02,20.0,34.59,691.8,691.8,1,1.0,3.0
CLM-57144,Franchise_TX_01,Baseboard Replacement - MISC,,31.0,60.03,1860.93,1545.94,0,,
CLM-88463,Franchise_TX_01,Baseboard Replacement - MISC,,29.0,117.33,3402.57,3402.57,1,,
CLM-65396,Franchise_NY_12,Dehumidifier Rental,,10.0,123.44,1234.4,1234.4,1,,
CLM-28287,Franchise_FL_04,Water Extraction,2025-04-26,43.0,81.85,3519.55,3519.55,1,4.0,5.0
CLM-68193,Franchise_TX_01,Baseboard Replacement,,9.0,25.19,226.71,110.4,0,,
CLM-44199,Franchise_TX_01,Water Extraction,,19.0,46.6,885.4,885.4,1,,
CLM-42001,Franchise_NY_12,Dehumidifier Rental,,41.0,46.88,1922.08,1922.08,1,,
CLM-51338,Franchise_FL_04,Baseboard Replacement,2025-09-22,28.0,61.95,1734.6,1734.6,1,9.0,0.0
CLM-57556,Franchise_NY_12,Baseboard Replacement,,26.0,147.03,3822.78,3822.78,1,,
CLM-96756,Franchise_NY_12,Drywall Repair,,7.0,29.31,205.17,205.17,1,,
CLM-50147,Franchise_NY_12,Antimicrobial Treatment,,22.0,109.49,2408.78,1705.86,0,,
CLM-47102,Franchise_TX_01,Dehumidifier Rental,,45.0,84.7,3811.5,3811.5,1,,
CLM-56576,Franchise_FL_04,Water Extraction,2025-12-23,49.0,110.98,5438.02,5438.02,1,12.0,1.0
CLM-48512,Franchise_TX_01,Dehumidifier Rental,,6.0,105.78,634.68,634.68,1,,
CLM-11792,Franchise_FL_04,Dehumidifier Rental,2025-03-07,15.0,67.45,1011.75,1011.75,1,3.0,4.0
CLM-85660,Franchise_NY_12,Dehumidifier Rental,,13.0,70.18,912.34,912.34,1,,
CLM-17586,Franchise_FL_04,Dehumidifier Rental,2025-05-10,39.0,86.57,3376.23,3376.23,1,5.0,5.0
CLM-89386,Franchise_FL_04,Drywall Repair,2025-01-13,5.0,46.28,231.4,231.4,1,1.0,0.0
CLM-80043,Franchise_TX_01,Baseboard Replacement - MISC,,50.0,97.52,4876.0,4876.0,1,,
CLM-42560,Franchise_TX_01,Water Extraction,,11.0,66.55,732.05,402.49,0,,
CLM-50578,Franchise_TX_01,Drywall Repair,,41.0,68.61,2813.01,2813.01,1,,
CLM-61265,Franchise_TX_01,Drywall Repair,,9.0,134.03,1206.27,1206.27,1,,
CLM-32828,Franchise_TX_01,Drywall Repair,,14.0,95.39,1335.46,974.55,0,,
CLM-92258,Franchise_TX_01,Baseboard Replacement,,10.0,75.44,754.4,754.4,1,,
CLM-46467,Franchise_TX_01,Antimicrobial Treatment,,32.0,119.29,3817.28,3817.28,1,,
CLM-94459,Franchise_TX_01,Antimicrobial Treatment,,4.0,42.47,169.88,169.88,1,,
CLM-85085,Franchise_TX_01,Dehumidifier Rental,,35.0,58.52,2048.2,2048.2,1,,
CLM-70624,Franchise_TX_01,Baseboard Replacement,,5.0,123.43,617.15,344.22,0,,
CLM-16735,Franchise_FL_04,Water Extraction,2025-07-18,31.0,64.03,1984.93,1984.93,1,7.0,4.0
CLM-33333,Franchise_NY_12,Dehumidifier Rental,,38.0,67.43,2562.34,1711.17,0,,
CLM-64768,Franchise_TX_01,Antimicrobial Treatment,,3.0,44.01,132.03,132.03,1,,
CLM-26051,Franchise_FL_04,Drywall Repair,2025-07-12,34.0,131.71,4478.14,3481.97,0,7.0,5.0
CLM-82677,Franchise_TX_01,Dehumidifier Rental - MISC,,40.0,143.68,5747.2,5747.2,1,,
CLM-97577,Franchise_NY_12,Antimicrobial Treatment,,40.0,29.39,1175.6,1175.6,1,,
CLM-84253,Franchise_NY_12,Water Extraction,,22.0,106.07,2333.54,2333.54,1,,
CLM-44674,Franchise_NY_12,Antimicrobial Treatment,,12.0,78.77,945.24,945.24,1,,
CLM-60903,Franchise_TX_01,Drywall Repair,,32.0,89.92,2877.44,2877.44,1,,
CLM-76947,Franchise_NY_12,Baseboard Replacement,,18.0,79.91,1438.38,1438.38,1,,
CLM-11514,Franchise_TX_01,Baseboard Replacement,,20.0,84.83,1696.6,1186.59,0,,
CLM-82456,Franchise_FL_04,Dehumidifier Rental,2025-07-15,49.0,48.99,2400.51,2400.51,1,7.0,1.0
CLM-73350,Franchise_TX_01,Dehumidifier Rental,,26.0,71.59,1861.34,1861.34,1,,
CLM-50299,Franchise_FL_04,Drywall Repair,2025-12-21,15.0,98.35,1475.25,591.88,0,12.0,6.0
CLM-41146,Franchise_FL_04,Water Extraction,2025-11-03,29.0,130.42,3782.18,2427.84,0,11.0,0.0
CLM-76694,Franchise_TX_01,Baseboard Replacement,,25.0,111.64,2791.0,2791.0,1,,
CLM-20870,Franchise_NY_12,Water Extraction,,34.0,19.64,667.76,272.76,0,,
CLM-33305,Franchise_NY_12,Drywall Repair,,25.0,83.08,2077.0,2077.0,1,,
CLM-80422,Franchise_TX_01,Antimicrobial Treatment - MISC,,24.0,68.52,1644.48,1644.48,1,,
CLM-74375,Franchise_TX_01,Baseboard Replacement - MISC,,12.0,99.31,1191.72,924.05,0,,
CLM-35120,Franchise_NY_12,Baseboard Replacement,,19.0,141.73,2692.87,2692.87,1,,
CLM-37382,Franchise_NY_12,Baseboard Replacement,,45.0,31.46,1415.7,1415.7,1,,
CLM-62353,Franchise_TX_01,Drywall Repair,,47.0,119.47,5615.09,5615.09,1,,
CLM-78066,Franchise_NY_12,Dehumidifier Rental,,13.0,42.95,558.35,492.11,0,,
CLM-68886,Franchise_TX_01,Baseboard Replacement,,27.0,92.83,2506.41,2506.41,1,,
CLM-23370,Franchise_NY_12,Water Extraction,,29.0,22.71,658.59,530.31,0,,
CLM-21325,Franchise_NY_12,Antimicrobial Treatment,,29.0,48.69,1412.01,1412.01,1,,
CLM-52718,Franchise_TX_01,Antimicrobial Treatment,,4.0,89.82,359.28,291.57,0,,
CLM-87438,Franchise_FL_04,Baseboard Replacement,2025-08-25,43.0,143.21,6158.03,6158.03,1,8.0,0.0
CLM-26691,Franchise_NY_12,Antimicrobial Treatment,,18.0,118.86,2139.48,2139.48,1,,
CLM-67972,Franchise_NY_12,Dehumidifier Rental,,43.0,123.78,5322.54,3492.09,0,,
CLM-92563,Franchise_TX_01,Water Extraction,,3.0,15.86,47.58,47.58,1,,
CLM-59278,Franchise_TX_01,Dehumidifier Rental - MISC,,34.0,144.96,4928.64,4928.64,1,,
CLM-18820,Franchise_TX_01,Drywall Repair,,43.0,117.68,5060.24,5060.24,1,,
CLM-78204,Franchise_TX_01,Antimicrobial Treatment,,36.0,103.5,3726.0,2046.6,0,,
CLM-13348,Franchise_TX_01,Drywall Repair,,35.0,32.24,1128.4,1128.4,1,,
CLM-77949,Franchise_FL_04,Antimicrobial Treatment,2025-09-03,25.0,63.21,1580.25,1580.25,1,9.0,2.0
CLM-57168,Franchise_TX_01,Baseboard Replacement,,19.0,101.38,1926.22,1926.22,1,,
CLM-43786,Franchise_TX_01,Water Extraction,,45.0,32.7,1471.5,1471.5,1,,
CLM-87474,Franchise_FL_04,Antimicrobial Treatment,2025-05-20,6.0,102.74,616.44,616.44,1,5.0,1.0
CLM-21403,Franchise_NY_12,Antimicrobial Treatment,,50.0,75.81,3790.5,3790.5,1,,
CLM-38507,Franchise_FL_04,Antimicrobial Treatment,2025-07-30,12.0,17.08,204.96,128.3,0,7.0,2.0
CLM-88004,Franchise_NY_12,Water Extraction,,22.0,21.12,464.64,464.64,1,,
CLM-99342,Franchise_TX_01,Drywall Repair,,5.0,116.52,582.6,582.6,1,,
CLM-94598,Franchise_NY_12,Dehumidifier Rental,,5.0,24.38,121.9,121.9,1,,
CLM-39917,Franchise_NY_12,Baseboard Replacement,,18.0,22.19,399.42,399.42,1,,
CLM-24330,Franchise_NY_12,Water Extraction,,12.0,19.64,235.68,235.68,1,,
CLM-63048,Franchise_NY_12,Dehumidifier Rental,,33.0,119.72,3950.76,3950.76,1,,
CLM-42976,Franchise_TX_01,Water Extraction,,49.0,146.22,7164.78,5347.34,0,,
CLM-45981,Franchise_NY_12,Water Extraction,,36.0,137.47,4948.92,4948.92,1,,
CLM-83217,Franchise_NY_12,Drywall Repair,,41.0,128.81,5281.21,5281.21,1,,
CLM-47203,Franchise_TX_01,Drywall Repair - MISC,,14.0,104.38,1461.32,1212.37,0,,
CLM-84405,Franchise_TX_01,Antimicrobial Treatment - MISC,,11.0,134.09,1474.99,1474.99,1,,
CLM-42879,Franchise_TX_01,Baseboard Replacement - MISC,,21.0,32.09,673.89,532.11,0,,
CLM-39804,Franchise_NY_12,Drywall Repair,,2.0,125.54,251.08,251.08,1,,
CLM-97168,Franchise_FL_04,Antimicrobial Treatment,2025-12-26,21.0,119.08,2500.68,2500.68,1,12.0,4.0
CLM-27181,Franchise_FL_04,Dehumidifier Rental,2025-03-13,29.0,127.28,3691.12,3691.12,1,3.0,3.0
CLM-29922,Franchise_FL_04,Antimicrobial Treatment,2025-12-23,5.0,41.94,209.7,209.7,1,12.0,1.0
CLM-73250,Franchise_FL_04,Antimicrobial Treatment,2025-06-13,13.0,59.51,773.63,773.63,1,6.0,4.0
CLM-19195,Franchise_FL_04,Water Extraction,2025-03-23,20.0,68.35,1367.0,1094.63,0,3.0,6.0
CLM-60983,Franchise_NY_12,Water Extraction,,34.0,98.61,3352.74,3352.74,1,,
CLM-18095,Franchise_FL_04,Dehumidifier Rental,2025-04-23,46.0,94.69,4355.74,4355.74,1,4.0,2.0
CLM-28361,Franchise_NY_12,Drywall Repair,,30.0,25.04,751.2,751.2,1,,
CLM-90772,Franchise_TX_01,Baseboard Replacement,,43.0,91.68,3942.24,3104.11,0,,
CLM-91149,Franchise_NY_12,Dehumidifier Rental,,9.0,132.21,1189.89,1053.6,0,,
CLM-49064,Franchise_FL_04,Antimicrobial Treatment,2025-06-10,45.0,99.99,4499.55,4499.55,1,6.0,1.0
CLM-94977,Franchise_FL_04,Drywall Repair,2025-08-07,42.0,136.46,5731.32,5731.32,1,8.0,3.0
CLM-21410,Franchise_TX_01,Baseboard Replacement - MISC,,2.0,68.68,137.36,73.68,0,,
CLM-41302,Franchise_FL_04,Dehumidifier Rental,2025-07-03,36.0,143.83,5177.88,5177.88,1,7.0,3.0
CLM-30053,Franchise_TX_01,Water Extraction,,43.0,50.26,2161.18,2161.18,1,,
CLM-80839,Franchise_NY_12,Drywall Repair,,29.0,123.5,3581.5,1663.8,0,,
CLM-93826,Franchise_NY_12,Baseboard Replacement,,47.0,92.32,4339.04,4339.04,1,,
CLM-56949,Franchise_TX_01,Drywall Repair,,36.0,148.32,5339.52,4637.67,0,,
CLM-16635,Franchise_FL_04,Water Extraction,2025-05-24,28.0,129.93,3638.04,2534.99,0,5.0,5.0
CLM-61272,Franchise_FL_04,Drywall Repair,2025-03-08,28.0,91.89,2572.92,2572.92,1,3.0,5.0
CLM-18650,Franchise_TX_01,Antimicrobial Treatment,,37.0,85.05,3146.85,3146.85,1,,
CLM-66732,Franchise_TX_01,Drywall Repair - MISC,,1.0,135.07,135.07,80.91,0,,
CLM-65873,Franchise_NY_12,Water Extraction,,3.0,57.39,172.17,147.18,0,,
CLM-58567,Franchise_NY_12,Antimicrobial Treatment,,43.0,27.74,1192.82,1192.82,1,,
CLM-10929,Franchise_NY_12,Water Extraction,,28.0,106.67,2986.76,2986.76,1,,
CLM-77843,Franchise_TX_01,Antimicrobial Treatment,,23.0,137.15,3154.45,1607.58,0,,
CLM-98233,Franchise_NY_12,Baseboard Replacement,,13.0,68.06,884.78,682.23,0,,
CLM-55317,Franchise_NY_12,Baseboard Replacement,,29.0,45.6,1322.4,1097.78,0,,
CLM-12651,Franchise_FL_04,Baseboard Replacement,2025-11-07,1.0,17.89,17.89,15.95,0,11.0,4.0
CLM-89037,Franchise_FL_04,Antimicrobial Treatment,2025-06-30,5.0,117.66,588.3,588.3,1,6.0,0.0
CLM-12085,Franchise_TX_01,Dehumidifier Rental,,17.0,42.08,715.36,347.24,0,,
CLM-96670,Franchise_FL_04,Drywall Repair,2025-01-26,13.0,89.63,1165.19,941.81,0,1.0,6.0
CLM-93942,Franchise_FL_04,Drywall Repair,2025-08-26,49.0,69.96,3428.04,3428.04,1,8.0,1.0
CLM-56281,Franchise_FL_04,Baseboard Replacement,2025-07-01,46.0,55.98,2575.08,2575.08,1,7.0,1.0
CLM-91700,Franchise_FL_04,Water Extraction,2025-04-02,6.0,98.21,589.26,589.26,1,4.0,2.0
CLM-42376,Franchise_NY_12,Baseboard Replacement,,32.0,79.88,2556.16,1701.31,0,,
CLM-27769,Franchise_FL_04,Dehumidifier Rental,2025-11-01,11.0,123.28,1356.08,994.51,0,11.0,5.0
CLM-45077,Franchise_TX_01,Dehumidifier Rental,,18.0,147.28,2651.04,2651.04,1,,
CLM-84017,Franchise_TX_01,Antimicrobial Treatment,,45.0,24.4,1098.0,577.15,0,,
CLM-46932,Franchise_FL_04,Baseboard Replacement,2025-11-21,25.0,74.75,1868.75,759.91,0,11.0,4.0
CLM-96305,Franchise_NY_12,Baseboard Replacement,,49.0,77.78,3811.22,2126.43,0,,
CLM-94781,Franchise_NY_12,Dehumidifier Rental,,23.0,65.87,1515.01,1515.01,1,,
CLM-24305,Franchise_NY_12,Baseboard Replacement,,29.0,134.31,3894.99,2855.17,0,,
CLM-42604,Franchise_NY_12,Dehumidifier Rental,,28.0,30.04,841.12,403.79,0,,
CLM-53998,Franchise_NY_12,Baseboard Replacement,,24.0,47.2,1132.8,1132.8,1,,
CLM-16651,Franchise_FL_04,Drywall Repair,2025-10-23,22.0,45.06,991.32,859.54,0,10.0,3.0
CLM-91710,Franchise_FL_04,Water Extraction,2025-10-06,6.0,70.87,425.22,425.22,1,10.0,0.0
CLM-97077,Franchise_NY_12,Dehumidifier Rental,,32.0,66.67,2133.44,1446.51,0,,
CLM-38085,Franchise_TX_01,Water Extraction,,23.0,46.07,1059.61,1059.61,1,,
CLM-18203,Franchise_FL_04,Baseboard Replacement,2025-07-19,2.0,48.75,97.5,97.5,1,7.0,5.0
CLM-23352,Franchise_NY_12,Water Extraction,,33.0,83.18,2744.94,2744.94,1,,
CLM-68982,Franchise_NY_12,Antimicrobial Treatment,,8.0,135.14,1081.12,661.33,0,,
CLM-44269,Franchise_NY_12,Antimicrobial Treatment,,28.0,56.91,1593.48,659.83,0,,
CLM-30357,Franchise_TX_01,Water Extraction,,50.0,80.53,4026.5,3580.55,0,,
CLM-51101,Franchise_FL_04,Baseboard Replacement,2025-11-27,7.0,35.91,251.37,251.37,1,11.0,3.0
CLM-40552,Franchise_FL_04,Drywall Repair,2025-08-09,15.0,90.45,1356.75,579.41,0,8.0,5.0
CLM-97894,Franchise_NY_12,Drywall Repair,,19.0,72.05,1368.95,1368.95,1,,
CLM-26773,Franchise_TX_01,Water Extraction,,4.0,106.11,424.44,369.49,0,,
CLM-96550,Franchise_NY_12,Drywall Repair,,38.0,129.27,4912.26,4095.32,0,,
CLM-77529,Franchise_NY_12,Drywall Repair,,12.0,75.66,907.92,907.92,1,,
CLM-48246,Franchise_TX_01,Antimicrobial Treatment,,48.0,106.19,5097.12,5097.12,1,,
CLM-43730,Franchise_NY_12,Water Extraction,,50.0,121.95,6097.5,6097.5,1,,
CLM-72014,Franchise_NY_12,Antimicrobial Treatment,,43.0,143.34,6163.62,6163.62,1,,
CLM-30044,Franchise_FL_04,Dehumidifier Rental,2025-10-14,47.0,34.62,1627.14,1627.14,1,10.0,1.0
CLM-62654,Franchise_TX_01,Antimicrobial Treatment,,29.0,103.35,2997.15,2997.15,1,,
CLM-11569,Franchise_TX_01,Antimicrobial Treatment,,4.0,66.92,267.68,267.68,1,,
CLM-93521,Franchise_FL_04,Baseboard Replacement,2025-10-31,10.0,132.65,1326.5,1326.5,1,10.0,4.0
CLM-17553,Franchise_TX_01,Antimicrobial Treatment,,26.0,109.68,2851.68,1642.44,0,,
CLM-46469,Franchise_TX_01,Water Extraction,,29.0,37.41,1084.89,1084.89,1,,
CLM-79538,Franchise_TX_01,Antimicrobial Treatment,,18.0,95.02,1710.36,1275.11,0,,
CLM-49657,Franchise_FL_04,Dehumidifier Rental,2025-10-02,38.0,58.22,2212.36,2212.36,1,10.0,3.0
CLM-42406,Franchise_FL_04,Water Extraction,2025-08-30,6.0,36.29,217.74,217.74,1,8.0,5.0
CLM-99174,Franchise_TX_01,Drywall Repair,,39.0,88.75,3461.25,3461.25,1,,
CLM-41204,Franchise_NY_12,Water Extraction,,19.0,75.44,1433.36,1433.36,1,,
CLM-20827,Franchise_FL_04,Drywall Repair,2025-09-13,25.0,128.98,3224.5,2825.0,0,9.0,5.0
CLM-33621,Franchise_NY_12,Water Extraction,,10.0,42.8,428.0,428.0,1,,
CLM-80270,Franchise_NY_12,Baseboard Replacement,,39.0,109.64,4275.96,4275.96,1,,
